key	helper (unused)	EN	DE	ES	RU	JA	zh-CN	"GOOGLETRANSLATE($C201;""EN"";D$1)"	
#Input									
Keyboard		Keyboard	Tastatur	Teclado	Клавиатура	キーボード	键盘使用		
DualshockPC		Dualshock Gamepad	Dualshock Gamepad	Dualshock Gamepad	Dualshock Gamepad	デュアルショックPC	电脑系统		
DualshockAndroid		Dualshock Gamepad	Dualshock Gamepad	Dualshock Gamepad	Dualshock Gamepad	デュアルショックアンドロイド	安卓系统		
XBox		XBox Gamepad	XBox Gamepad	XBox Gamepad	XBox Gamepad	XBox Gamepad	XBox平台		
Custom		Custom	Benutzerdefiniert	Personalizado	Обычай	カスタム	自定义		
Touchpad		Touchpad	Touchpad	Touchpad	Touchpad	Touchpad	触控屏		
#Menus									
Title		<size=333>j</size>uniper's <size=333>p</size>ath	<size=333>j</size>uniper's <size=333>p</size>ath	<size=333>j</size>uniper's <size=333>p</size>ath	<size=333>j</size>uniper's <size=333>p</size>ath	<size=333>j</size>uniper's <size=333>p</size>ath	<size=333>j</size>uniper's <size=333>p</size>ath		
StartGame		Start Game	Spiel starten	Comenzar	Начать игру	ゲームをスタート	开始游戏		
Options		Options	Optionen	Opciones	Параметры	オプション	游戏选项		
Community		Community	Community	Comunidad	Сообщество	コミュニティ	制作社区		
Exit		Exit	Beenden	Salir	Выход	出口	退出界面		
Profile		Profile	Profil	Perfil	Профиль	プロフィール	界面调整		
Difficulty		Profile Difficulty	Profilschwierigkeit	Dificultad de esta partida	Профиль сложности	プロファイルの難しさ	调整作战难度		
Language		Language	Sprache	Idioma	Язык	言語	使用语言		
Input		Input	Eingabe	Entrada	Вход	入力	输入		
Continue		Continue	Fortsetzen	Continuar	Продолжать	継続する	继续		
Save		Save	Speichern	Guardar	Сохранить	セーブ	保存		
Load		Load	Laden	Cargar Partida	Нагрузка	負荷	加载		
ToTitle		To Title	Zum Titel	A la pantalla del título	К названию	題する	返回界面		
SaveAndExit		Save and Exit	Speichern und Beenden	Guardar y a la pantalla del título	Сохранить & К названию	セーブ & 題する	保存 & 返回界面		
First		First	Erstes	Primero	Первый	最初	第一项		
Second		Second	Zweites	Segundo	Второй	第二に	第二项		
Third		Third	Drittes	Tercero	В третьих	第三	第三项		
Fourth		Fourth	Viertes	Cuatro	Четвертый	第4	第四项		
Easy		Easy	Einfach	Fácil	Легкий	簡単	简单		
Normal		Normal	Normal	Normal	Обычный	正常	普通		
Hard		Hard	Schwierig	Difícil	Жесткий	ハード	艰难		
Off		Off	Aus	Apagado	Выключенный	オフ	开启		
On		On	An	Encendido	На	オン	关闭		
No		No	Nein	No	Нет	番号	否		
Yes		Yes	Ja	Sí	да	はい	是		
Low		Low	Niedrig	Bajo	Низкий	低い	最低		
Mid		Middle	Mitte	Medio	Середина	真ん中	中等		
High		High	Hoch	Alto	Высокая	高い	较高		
Back		Back	Zurück	Atrás	Назад	戻る	返回		
Paused		Paused	Pause	Pausado	Пауза	一時停止しました	暂停		
Sounds		Sounds	Geräusche	Sonidos	Звуки	聞こえない	声音		
